humidity,temperture,chiller,condenser,result_name
39.6,26.6,9.116,30.144,T7 Air condition alert temperature to high
38.1,26.8,9.116,32.168,T7 Air condition alert temperature to high
38.1,26.8,9.116,32.168,T7 Air condition alert temperature to high
38.1,26.8,9.116,32.168,T7 Air condition alert temperature to high
38.1,26.8,9.17,29.122,T7 Air condition alert temperature to high
38.1,26.8,9.17,29.122,T7 Air condition alert temperature to high
38.1,26.8,9.17,29.122,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.159,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.159,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.159,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.216,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.216,T7 Air condition alert temperature to high
37.9,26.9,9.125,30.216,T7 Air condition alert temperature to high
37.3,26.9,9.155,30.738,T7 Air condition alert temperature to high
37.3,26.9,9.155,30.738,T7 Air condition alert temperature to high
46.2,24.8,10.256,32.432,T7 Air condition system is normal
46.2,24.8,10.256,32.432,T7 Air condition system is normal
46.2,24.8,10.256,32.432,T7 Air condition system is normal
48.8,24.8,10.256,30.393,T7 Air condition system is normal
48.8,24.8,10.256,30.393,T7 Air condition system is normal
48.8,24.8,10.256,30.393,T7 Air condition system is normal
49,24.2,9.935,31.511,T7 Air condition system is normal
49,24.2,9.935,31.511,T7 Air condition system is normal
49,24.2,9.935,31.511,T7 Air condition system is normal
49,24.2,9.866,31.511,T7 Air condition system is normal
49,24.2,9.866,31.511,T7 Air condition system is normal
49,24.2,9.866,31.511,T7 Air condition system is normal
50.4,24.1,10.265,32.387,T7 Air condition system is normal
50.4,24.1,10.265,32.387,T7 Air condition system is normal
50.4,24.1,10.265,32.387,T7 Air condition system is normal
54.8,24.7,9.773,33.37,T7 Air condition alert humidity to high
55.1,24.7,10.085,31.823,T7 Air condition alert humidity to high
52.3,24.4,9.914,30.339,T7 Air condition alert humidity to high
52.3,24.4,10.232,33.619,T7 Air condition alert humidity to high
52.1,24.4,10.232,30.255,T7 Air condition alert humidity to high
52.2,24,10.631,33.502,T7 Air condition alert humidity to high
52.5,24,9.827,29.676,T7 Air condition alert humidity to high
52.5,24,9.827,30.003,T7 Air condition alert humidity to high
52.7,24.1,10.265,29.886,T7 Air condition alert humidity to high
52.7,24.1,10.265,29.886,T7 Air condition alert humidity to high
49.6,24.1,10.265,29.886,T7 Air condition system is normal
49.6,24.1,9.545,32.324,T7 Air condition system is normal
52.6,24.1,9.545,32.918,T7 Air condition alert humidity to high
50.1,24.6,10.742,30.363,T7 Air condition system is normal
53.4,24.6,9.125,29.754,T7 Air condition alert humidity to high
